,Comments,CommentID,CommentReply,CommentLike,PublishDate,VideoID,MovieDate,MovieLink,CommentDate,Difference,Comments_after_preprocess,Sentiment
241315,"I can't believe how many people would wish for someone to die, what kind of pretentious assholes are you backwards moral having asshats",UgiqktCUHMg6_HgCoAEC,0.0,0,2015-08-07T23:22:58Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2015-08-07,4.0,"ca n't believe many people would wish someone die , kind pretentious asshole backwards moral asshats",1
241316,"1:36 Movie Sins, is that you?",UghJzsmEoUS60ngCoAEC,0.0,4,2015-06-26T12:35:44Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2015-06-26,46.0,"1:36 movie sin , ?",0
241317,"Batista, Tori Black, and CinemaSins.",Ugh-4RWK7iBQFHgCoAEC,0.0,0,2015-06-23T19:19:48Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2015-06-23,49.0,"batista , torus black , cinemasins .",0
241318,Wished this happened in to Kim K,UggvnGRuaUePbHgCoAEC,0.0,0,2015-06-03T18:54:45Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2015-06-03,69.0,wished happened kim k,0
241319,Batista did this before Guardians and you can bet he wishes he hadn't.,UgjobDOioq6a7ngCoAEC,1.0,1,2015-06-03T03:53:25Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2015-06-03,69.0,batista guardian bet wish n't .,1
241320,Why is'nt kim kardashian in this movie? XD,UgiDJo4bbxtV9ngCoAEC,2.0,20,2015-05-16T18:31:19Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2015-05-16,87.0,is'nt kim kardashian movie ? xd,1
241321,I`ll pass.,UgiT751q7jdBTngCoAEC,0.0,0,2015-05-13T22:17:15Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2015-05-13,90.0,` pas .,0
241322,whats the song they use for this trailer,UgiMhFH8mtoDDXgCoAEC,2.0,0,2015-03-31T19:30:53Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2015-03-31,133.0,whats song use trailer,0
241323,Andy dick is the slasher,UgiCwHhr5bDvMngCoAEC,0.0,0,2015-03-09T21:11:51Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2015-03-09,155.0,andy dick slasher,0
241324,I came here just to see how many CinemaSins mentions there were. ,UggfuRrTTyAARngCoAEC,1.0,0,2015-03-01T13:31:04Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2015-03-01,163.0,came see many cinemasins mention .,0
