Comments,CommentID,CommentReply,CommentLike,PublishDate,VideoID,MovieDate,MovieLink,CommentDate,Difference
"Oh noooo! Ah well, if Chester French's stuff is anything like it I'll be happy! Also stoked to find and promptly watch this movie!",UgxxrBnvLuFXrvvU1MJ4AaABAg,0,0,2013-09-21T12:21:26Z,aM8In5c5ChU,2014-08-05,https://www.imdb.com/title/tt2251490/?ref_=adv_li_tt,2013-09-21,318
"Fun fact: Eat Spirit Eat shot in the same movie theater in North Hollywood on the same exact day as Don Jon, the trailer for which is also featured on this channel. You can actually see the theater scenes in both trailers. Another fun fact: Eat Spirit Eat's entire film budget is 1/25th of Don Jon's :)))
 ",UgxeywjLkzzYkX42McR4AaABAg,0,1,2013-09-08T23:40:33Z,aM8In5c5ChU,2014-08-05,https://www.imdb.com/title/tt2251490/?ref_=adv_li_tt,2013-09-08,331
"Love the trailer!  I smiled the entire way through, reminiscing about having seen it at the Waterfront Film Festival!  Great film!",UgxCRFab3CfnH7TeRAd4AaABAg,0,0,2013-09-08T19:58:13Z,aM8In5c5ChU,2014-08-05,https://www.imdb.com/title/tt2251490/?ref_=adv_li_tt,2013-09-08,331
hey @livthebatchelor! glad you liked the music. it's not an existing song though. It's a piece specially written for the trailer by one of our composers - Max Drummey. He's part of the band Chester French. Google them :) Thanks! ,Ugz11UzPmXj3sExpzRt4AaABAg,0,1,2013-09-08T17:51:55Z,aM8In5c5ChU,2014-08-05,https://www.imdb.com/title/tt2251490/?ref_=adv_li_tt,2013-09-08,331
"Yo, there! Could anyone hook me up with the title of the song that starts at around 1:25? Many thanks!",Ugyghd9kSbDGCvtB-TJ4AaABAg,0,0,2013-09-08T07:46:10Z,aM8In5c5ChU,2014-08-05,https://www.imdb.com/title/tt2251490/?ref_=adv_li_tt,2013-09-08,331
Aviva is a music artist. Well there is a music artist named Aviva.,Ugy2QxaTgz_lzqrpQil4AaABAg,1,4,2020-06-03T17:36:39Z,1LcHHWbF1b8,2021-04-30,https://www.imdb.com/title/tt10373830/?ref_=adv_li_tt,2020-06-03,331
1:39840,UgwK54nhWCqQADbVzb94AaABAg,0,2,2020-06-03T13:10:41Z,1LcHHWbF1b8,2021-04-30,https://www.imdb.com/title/tt10373830/?ref_=adv_li_tt,2020-06-03,331
Together the armor forms MEGA MAN!,UgiE6DBg1l8-x3gCoAEC,1,0,2016-01-09T05:52:30Z,aL4aAl2vCuI,2016-01-27,https://www.imdb.com/title/tt3864024/?ref_=adv_li_tt,2016-01-09,18
Where can I see this movie,Ugh4lxe0bu9aM3gCoAEC,1,0,2016-01-05T03:16:53Z,aL4aAl2vCuI,2016-01-27,https://www.imdb.com/title/tt3864024/?ref_=adv_li_tt,2016-01-05,22
it dont have the german trailer😠,UggtnQCnb4fDV3gCoAEC,0,0,2015-12-31T12:20:51Z,aL4aAl2vCuI,2016-01-27,https://www.imdb.com/title/tt3864024/?ref_=adv_li_tt,2015-12-31,27
Based on a true story ?,Ugj1UPK-MNeNpHgCoAEC,17,3,2015-12-29T17:10:14Z,aL4aAl2vCuI,2016-01-27,https://www.imdb.com/title/tt3864024/?ref_=adv_li_tt,2015-12-29,29
The shield reminded me of the shield from Generator Rex.,UggEcJ_3BO-g0HgCoAEC,0,0,2015-12-28T11:17:15Z,aL4aAl2vCuI,2016-01-27,https://www.imdb.com/title/tt3864024/?ref_=adv_li_tt,2015-12-28,30
lazar beam,UghFnJOSkEsvjngCoAEC,0,1,2015-11-10T21:58:22Z,aL4aAl2vCuI,2016-01-27,https://www.imdb.com/title/tt3864024/?ref_=adv_li_tt,2015-11-10,78
"Once Michael said dumbass, i freaked! XP",UggUkb385_heSngCoAEC,0,0,2015-11-03T07:05:13Z,aL4aAl2vCuI,2016-01-27,https://www.imdb.com/title/tt3864024/?ref_=adv_li_tt,2015-11-03,85
micheal's got the Megabuster....great...,Ught5fxrsgbmoXgCoAEC,0,0,2015-10-20T17:10:36Z,aL4aAl2vCuI,2016-01-27,https://www.imdb.com/title/tt3864024/?ref_=adv_li_tt,2015-10-20,99
This was uploaded on my bday,UgiLBdqz4noUR3gCoAEC,1,0,2015-09-21T01:18:17Z,aL4aAl2vCuI,2016-01-27,https://www.imdb.com/title/tt3864024/?ref_=adv_li_tt,2015-09-21,128
fuck yes! this is getting me so hyped for a movie with those guys in it! is this being produced by rooster teeth or not?,UghDjngACugwUngCoAEC,3,4,2015-09-13T19:47:49Z,aL4aAl2vCuI,2016-01-27,https://www.imdb.com/title/tt3864024/?ref_=adv_li_tt,2015-09-13,136
the shield reminds of the covenant from Halo,UgiZFxCWipr3r3gCoAEC,4,10,2015-09-11T04:36:46Z,aL4aAl2vCuI,2016-01-27,https://www.imdb.com/title/tt3864024/?ref_=adv_li_tt,2015-09-11,138
Lindsay probably loved that last part. ,UgjMpvCn-RAjkXgCoAEC,1,9,2015-06-07T18:53:53Z,aL4aAl2vCuI,2016-01-27,https://www.imdb.com/title/tt3864024/?ref_=adv_li_tt,2015-06-07,234
'Based on a true story',UggTFemuRLPPXngCoAEC,0,0,2015-05-01T22:22:23Z,aL4aAl2vCuI,2016-01-27,https://www.imdb.com/title/tt3864024/?ref_=adv_li_tt,2015-05-01,271
Dude I can't wait to watch this.,Ugh7F99up9hMNngCoAEC,0,0,2015-03-26T09:26:55Z,aL4aAl2vCuI,2016-01-27,https://www.imdb.com/title/tt3864024/?ref_=adv_li_tt,2015-03-26,307
"OH GOD IM SO READY
I COULD HONESTLY STAB A MAN I FEEL SO PUMPED AND READY",UggNsU0xEcLpkngCoAEC,0,4,2015-03-02T03:00:06Z,aL4aAl2vCuI,2016-01-27,https://www.imdb.com/title/tt3864024/?ref_=adv_li_tt,2015-03-02,331
"I wanna see it

",Ugh3auq0EES_tngCoAEC,0,0,2015-02-26T17:07:10Z,aL4aAl2vCuI,2016-01-27,https://www.imdb.com/title/tt3864024/?ref_=adv_li_tt,2015-02-26,335
Is that Colton Dunn?,Ughpv9008STwjHgCoAEC,0,0,2015-02-24T05:42:22Z,aL4aAl2vCuI,2016-01-27,https://www.imdb.com/title/tt3864024/?ref_=adv_li_tt,2015-02-24,337
Gavin and Michael YES!!!!! ,UghYoIziOUNstngCoAEC,0,3,2015-02-24T04:57:05Z,aL4aAl2vCuI,2016-01-27,https://www.imdb.com/title/tt3864024/?ref_=adv_li_tt,2015-02-24,337
Rooster teeth are the best,UggN1a83eXYGYHgCoAEC,0,0,2015-02-24T03:57:05Z,aL4aAl2vCuI,2016-01-27,https://www.imdb.com/title/tt3864024/?ref_=adv_li_tt,2015-02-24,337
This is real?,UggwCT4mmSkvqHgCoAEC,3,0,2015-02-24T03:01:14Z,aL4aAl2vCuI,2016-01-27,https://www.imdb.com/title/tt3864024/?ref_=adv_li_tt,2015-02-24,337
Looks so good,UghsR7McF0MlongCoAEC,0,2,2015-02-23T22:41:50Z,aL4aAl2vCuI,2016-01-27,https://www.imdb.com/title/tt3864024/?ref_=adv_li_tt,2015-02-23,338
Also painfull pll are not fighting the system... but we are all fighting for a place and excepsence in the system... a system that is completely broken  and bad and disrespectfull for 80% of the humanbeings,UgjvSVdPp4m0QngCoAEC,0,0,2015-03-06T22:49:04Z,v-Fj5wivD8M,2015-05-04,https://www.imdb.com/title/tt3263520/?ref_=adv_li_tt,2015-03-06,59
